factory_name,article_count,latest_article,prevalence_child_labour,prevalence_forced_labour,prevalence_discrimination,prevalence_freedom_of_association,prevalence_working_hours,prevalence_compensation,prevalence_osh,prevalence_contracts,name_lower,os_id,name,address,lat,lng,number_of_workers,is_closed,raw_score,confidence,composite_score,risk_band,rank
Dagon Seikkan Garment Industry Company Limited.,2,31/12/2024,0.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,dagon seikkan garment industry company limited.,MM2025087C13VXT,Dagon Seikkan Garment Industry Company Limited.,"No (137-B), Matkhayar Min Thargyi Street, Dagon Seikkan Industrial Zone (1), Dagon Seikkan Township, Yangon.",16.8344399,96.2806526,,False,0.4375,0.5235,0.229,Low,100
Golden Fashion,2,25/12/2025,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,golden fashion,,,,,,,,0.4375,0.5235,0.229,Low,101
"Dong Yu Garment Co., Ltd.",2,25/03/2025,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,"dong yu garment co., ltd.",MM2020043AVRFSA,"Dong Yu Garment Co., Ltd.","Plot No.459, Myay Taing Block No.25, Shwe Lin Ban Industrial Zone, Hlaingtharya Township, Yangon Region, Myanmar",16.90796,96.06499,,False,0.4375,0.5235,0.229,Low,102
"International Gate Way Co., Ltd",1,23/09/2023,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,"international gate way co., ltd",MM2025087DPYSN1,"International Gate Way Co., Ltd","19, Kyaik Wine Pagoda Road, 8 miles, Myaing Hay Wun Housing, Mayangone, Yangon",16.8648884,96.1406483,,False,0.5,0.4094,0.2047,Low,103
Myanmar Knitting Factory,1,22/12/2025,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,myanmar knitting factory,,,,,,,,0.5,0.4094,0.2047,Low,104
Jiangsu Soho,1,17/03/2026,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,jiangsu soho,,,,,,,,0.5,0.4094,0.2047,Low,105
Myanmar Huasheng Golden,1,18/07/2024,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,myanmar huasheng golden,,,,,,,,0.5,0.4094,0.2047,Low,106
"Bawga Mandaing Mfg Co., Ltd",1,25/12/2025,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,"bawga mandaing mfg co., ltd",MM2025087GWV9XZ,"Bawga Mandaing Mfg Co., Ltd","42/201, Kanaung Min Thar Gyi Street, Industrial Zone (1), Shwepyitha, Yangon",16.9188097,96.083001,,False,0.5,0.4094,0.2047,Low,107
"XINDA HOME TEXTILE (MYANMAR) CO., LTD.",1,14/10/2023,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,"xinda home textile (myanmar) co., ltd.",MM202306144AHR3,"XINDA HOME TEXTILE (MYANMAR) CO., LTD.","Plot No. 140 (A) (B) (D) (F), Myay Taing Block No. 42 Sethmu,Shwe Pyi Thar Township.",16.9753379,96.0785104,,False,0.5,0.4094,0.2047,Low,108
"Nadi Pacific Apparel Co., Ltd",1,17/02/2024,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,"nadi pacific apparel co., ltd",MM2025087XS30R3,"Nadi Pacific Apparel Co., Ltd","No.107 Twin Thin Tike Wun U Tun Nyo St., Industrial Zone (2), Hlaingtharya, Yangon",16.9013508,96.2369004,,False,0.5,0.4094,0.2047,Low,109
